"ISO country code",Country,Survey Year,Location,Years of schooling,School attendance,Access to health services,Improved water,Improved toilet facility,Overcrowding,Electricity,Housing material,Asset ownership,Child labour,Productive employment,Financial services
UGA,Uganda,2019-2020,Kampala,0.041,0.11,0.053,0.018,0.671,0.508,0.067,0.145,0.167,0.012,0.028,0.02
UGA,Uganda,2019-2020,Buganda South,0.124,0.15,0.091,0.338,0.653,0.383,0.402,0.305,0.315,0.222,0.107,0.07
UGA,Uganda,2019-2020,Buganda North,0.173,0.20,0.157,0.363,0.687,0.446,0.507,0.475,0.410,0.251,0.172,0.16
UGA,Uganda,2019-2020,Busoga,0.231,0.20,0.146,0.190,0.669,0.576,0.676,0.630,0.472,0.549,0.359,0.23
UGA,Uganda,2019-2020,Bukedi,0.226,0.23,0.141,0.127,0.634,0.615,0.831,0.676,0.483,0.403,0.264,0.27
UGA,Uganda,2019-2020,Elgon,0.119,0.14,0.189,0.201,0.824,0.432,0.760,0.807,0.497,0.447,0.187,0.20
UGA,Uganda,2019-2020,Teso,0.167,0.29,0.286,0.241,0.902,0.552,0.878,0.796,0.371,0.565,0.263,0.30
UGA,Uganda,2019-2020,Karamoja,0.688,0.59,0.241,0.392,0.972,0.661,0.886,0.933,0.870,0.173,0.126,0.76
UGA,Uganda,2019-2020,Lango,0.171,0.30,0.195,0.205,0.880,0.474,0.857,0.745,0.427,0.565,0.238,0.46
UGA,Uganda,2019-2020,Acholi,0.220,0.35,0.147,0.291,0.927,0.502,0.819,0.917,0.777,0.341,0.119,0.55
UGA,Uganda,2019-2020,West Nile,0.325,0.28,0.220,0.229,0.926,0.513,0.849,0.845,0.536,0.360,0.188,0.42
UGA,Uganda,2019-2020,Bunyoro,0.235,0.23,0.133,0.410,0.659,0.399,0.636,0.729,0.435,0.518,0.178,0.26
UGA,Uganda,2019-2020,Toro,0.229,0.29,0.079,0.483,0.666,0.314,0.683,0.790,0.518,0.388,0.160,0.30
UGA,Uganda,2019-2020,Ankole,0.172,0.21,0.082,0.614,0.904,0.337,0.550,0.737,0.466,0.453,0.143,0.20
UGA,Uganda,2019-2020,Kigezi,0.229,0.20,0.040,0.589,0.869,0.205,0.719,0.810,0.588,0.377,0.088,0.34
